Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	142	,▁	47172	4092	4318	0.79399	0.730065	0.760687
2	146	.▁	30500	2870	3051	0.98417	0.939089	0.961101
3	154	die▁	24100	1709	2243	0.648921	0.509206	0.570636
4	151	der▁	22931	1715	2381	0.63079	0.486603	0.549394
5	161	und▁	20137	1319	1310	0.83458	0.833888	0.834234
6	175	in▁	11215	990	1084	0.598412	0.544438	0.57015
7	163	den▁	8917	671	752	0.386337	0.363174	0.374397
8	189	zu▁	8847	677	783	0.450817	0.386171	0.415998
9	200	von▁	7375	747	833	0.490536	0.452099	0.470534
10	5	▁	6829	907	737	0.355184	0.428195	0.388287
11	206	ist▁	6684	463	740	0.647222	0.403066	0.496765
12	205	für▁	6382	365	485	0.596517	0.44571	0.510203
13	224	das▁	5618	476	657	0.376163	0.283095	0.32306
14	221	des▁	5187	350	414	0.359392	0.30933	0.332487
15	222	auf▁	5119	409	469	0.358705	0.312201	0.333841
16	169	es▁	4991	470	423	0.382629	0.425405	0.402885
17	237	dass▁	4806	445	412	0.489261	0.510994	0.499891
18	207	eine▁	4782	356	462	0.436937	0.34465	0.385345
19	227	mit▁	4764	441	483	0.553723	0.501124	0.526112
20	242	nicht▁	4592	342	436	0.847962	0.664975	0.745402
21	134	en▁	4423	417	358	0.269542	0.29899	0.283503
22	257	werden▁	4164	241	268	0.351351	0.309055	0.328849
23	255	im▁	4148	374	309	0.335784	0.411972	0.369997
24	262	wir▁	4021	120	122	0.677721	0.661765	0.669648
25	135	e▁	3780	526	398	0.262739	0.332861	0.293672
26	225	ein▁	3671	415	489	0.506684	0.436073	0.468734
27	249	dem▁	3554	380	424	0.292507	0.268056	0.279748
28	280	sich▁	3486	363	462	0.26725	0.222892	0.243063
29	287	Die▁	3321	368	445	0.565395	0.470455	0.513574
30	285	auch▁	3272	206	225	0.465686	0.438474	0.45167
31	7	n	3208	479	404	0.311815	0.372934	0.339647
32	137	t▁	3044	455	333	0.198951	0.267327	0.228125
33	140	er▁	2956	638	510	0.402702	0.51101	0.450437
34	181	ich▁	2885	108	107	0.664894	0.677656	0.671214
35	305	wird▁	2866	176	243	0.417708	0.302038	0.350578
36	310	sind▁	2830	203	265	0.357868	0.279116	0.313624
37	318	Sie▁	2707	141	235	0.695312	0.422222	0.5254
38	277	um▁	2682	260	245	0.236287	0.251101	0.243469
39	302	-▁	2673	250	117	0.284153	0.609929	0.38769
40	256	an▁	2672	348	225	0.161392	0.245528	0.194762
41	301	als▁	2661	313	245	0.496575	0.64083	0.559555
42	141	s▁	2480	322	260	0.201365	0.252504	0.224053
43	331	haben▁	2480	189	248	0.5	0.378592	0.430908
44	348	hat▁	2295	211	340	0.346535	0.212074	0.263122
45	351	(▁	2293	145	120	0.775745	0.900901	0.833652
46	309	über▁	2242	137	210	0.403704	0.26819	0.322281
47	356	)▁	2232	145	115	0.73374	0.902913	0.809583
48	358	sie▁	2219	326	315	0.56015	0.583965	0.57181
49	48	-	2130	462	195	0.188991	0.46507	0.268764
50	379	Ich▁	2097	94	84	0.771739	0.857143	0.812202
51	319	wie▁	2086	167	165	0.577922	0.571429	0.574657
